MarketNo,StockID,SourceID,SourceName,RelatedMarketNo,RelatedStockID,RelatedStockProbability
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2406,0.9924219250679016
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6672,0.9911009073257446
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2069,0.9910993576049805
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0056,0.9909977316856384
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3092,0.9906271696090698
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",2,5905,0.99053955078125
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2030,0.990253210067749
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1310,0.9898409247398376
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2476,0.9892076253890991
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3048,0.9887104034423828
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2367,0.9886913299560547
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2351,0.9886887073516846
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2007,0.9885806441307068
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1711,0.9884844422340393
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,5243,0.9884185791015625
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3049,0.9878389835357666
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1527,0.9874267578125
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2905,0.9874184131622314
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2034,0.9872681498527527
1,0050,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2462,0.987138032913208
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0055,0.9967997074127197
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1533,0.9915443062782288
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6226,0.9913768172264099
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,5285,0.9912328720092773
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2497,0.9910386800765991
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6112,0.9910383224487305
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0056,0.9906614422798157
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3051,0.9904487133026123
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3454,0.9904124140739441
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1307,0.9904059767723083
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,8478,0.9903815984725952
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,4564,0.9903416633605957
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1616,0.9897074699401855
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,4545,0.9896370768547058
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6289,0.9895638227462769
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,4770,0.9895390868186951
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2614,0.9894196391105652
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",2,8064,0.989371657371521
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,8473,0.9893332719802856
1,0052,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",2,5236,0.9892885684967041
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0052,0.9967997074127197
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6226,0.9922294616699219
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,5285,0.9910469651222229
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1533,0.990860104560852
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2497,0.9906408190727234
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,8473,0.9896312355995178
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0056,0.9893304109573364
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",2,8042,0.9893118143081665
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6112,0.9891788959503174
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,8478,0.9891020059585571
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6289,0.9889110326766968
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,4564,0.9887288212776184
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1616,0.9886374473571777
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",2,3147,0.9885072708129883
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3383,0.9884443879127502
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6108,0.9882810711860657
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,8028,0.9882312417030334
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,3051,0.9882277250289917
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1727,0.9881146550178528
1,0055,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,1538,0.9879166483879089
1,0056,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",2,5905,0.9914230108261108
1,0056,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2614,0.9910057783126831
1,0056,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0050,0.9909977316856384
1,0056,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,0052,0.9906614422798157
1,0056,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,6289,0.9897787570953369
1,0056,"opd(-1,20,1)_UfcS","opd(-1,20,1)_UfcS",1,2406,0.9894802570343018
